edge1_x,edge1_y,centerline1_x,centerline1_y,edge2_x,edge2_y,centerline2_x,centerline2_y,edge3_x,edge3_y,road_centerline_x,road_centerline_y,cumulative_distance
0.1498160340725071,-3.791338513301135,1.170708652408883,-4.121555195229252,2.0647436072651213,-4.239779824074821,2.8879473942643497,-4.294368927495611,3.672003111916546,-4.323840219447746,2.0647436072651213,-4.239779824074821,6.890494240162711
0.13986840777365478,-3.792453801304659,1.1625821492084516,-4.127391393101813,2.05828407607707,-4.247417140286648,2.8826566525463924,-4.302856240394677,3.6675436195700963,-4.332791258859196,2.05828407607707,-4.247417140286648,6.900496946900832
0.1299124887566629,-3.7934924604592988,1.154426552023559,-4.133186864992183,2.051796295252885,-4.2550304734637905,2.877340967761947,-4.311327953529879,3.6630623078091857,-4.341731394397032,2.051796295252885,-4.2550304734637905,6.910499653638952
0.11994886730229254,-3.7944544291835447,1.1462420649505944,-4.138941465866855,2.0452803538363744,-4.262619719114408,2.8720003859065986,-4.319783993597138,3.658559203294602,-4.350660572873471,2.0452803538363744,-4.262619719114408,6.920502360377072
0.1099781341479782,-3.7953396504428207,1.1380288928089237,-4.144655051715129,2.038736341257842,-4.2701847730772595,2.8666349531913617,-4.328224287427983,3.6540343328167832,-4.3595787411659135,2.038736341257842,-4.2701847730772595,6.930505067115193
0.100000880452803,-3.796148071752863,1.1297872411357675,-4.150327479552719,2.0321643473328668,-4.277725531523127,2.86124471604228,-4.336648761990199,3.6494877232956613,-4.368485846217265,2.0321643473328668,-4.277725531523127,6.940507773853314
0.09001769776244918,-3.796879645182832,1.1215173161810543,-4.155958607425332,2.0255644622610656,-4.285241890956248,2.855829721100026,-4.345057344388446,3.6449194017805007,-4.377381835036249,2.0255644622610656,-4.285241890956248,6.950510480591435
0.08002917797412575,-3.797534327358157,1.1132193249022608,-4.161548294412219,2.0189367766248596,-4.292733748215731,2.850390015219496,-4.3534499618649,3.640329395449738,-4.386266654697724,2.0189367766248596,-4.292733748215731,6.960513187329554
0.07003591330147522,-3.7981120794631056,1.1048934749592327,-4.167096400629703,2.012281381388226,-4.300201000476973,2.8449256454694054,-4.361826541799877,3.635717731610819,-4.395140252342996,2.012281381388226,-4.300201000476973,6.970515894067675
0.060038496239461586,-3.798612867243084,1.0965399747089868,-4.172602787234679,2.0055983678954528,-4.307643545253073,2.8394366591318807,-4.370187011712461,3.631084437700039,-4.404002575180136,2.0055983678954528,-4.307643545253073,6.980518600805795
0.05003751952924162,-3.799036661006671,1.0881590332004984,-4.178067316428086,1.9988878278698847,-4.315061280396233,2.8339231037020522,-4.378531299261135,3.6264295412823744,-4.412853570484292,1.9988878278698847,-4.315061280396233,6.990521307543916
0.040033576123021344,-3.7993834356273757,1.0797508601694683,-4.1834898514583605,1.992149853412664,-4.322454104099169,2.8283850268876405,-4.386859332244405,3.6217530700513256,-4.421693185598001,1.992149853412664,-4.322454104099169,7.000524014282036
0.03002725914890134,-3.7996531705451284,1.0713156660330745,-4.188870256624857,1.985384537001465,-4.329821914896495,2.822822476608546,-4.395171038601422,3.6170550518287454,-4.43052136793151,1.985384537001465,-4.329821914896495,7.010526721020157
0.020019161875708825,-3.7998458497675003,1.0628536618847078,-4.19420839728124,1.978591971489229,-4.3371646116661315,2.817235500996432,-4.403466346412613,3.6123355145646787,-4.439338064963078,1.978591971489229,-4.3371646116661315,7.020529427758277
0.010009877677824209,-3.799961461870649,1.0543650594886869,-4.199504139838858,1.9717722501028843,-4.344482093630678,2.8116241483943107,-4.411745183900293,3.6075944863371934,-4.4481432242392955,1.9717722501028843,-4.344482093630678,7.030532134496397
0.0,-3.8,1.0458500712749605,-4.204757351770087,1.9649254664420706,-4.351774260358808,2.805988467356123,-4.420007479429295,3.6028319953522154,-4.4569367933753945,1.9649254664420706,-4.351774260358808,7.040534841234518
-0.010009877677824209,-3.799961461870649,1.03730891033379,-4.209967901611643,1.9580517144778533,-4.359041011766642,2.8003285066463195,-4.428253161507585,3.5980480699433572,-4.465718720055563,1.9580517144778533,-4.359041011766642,7.050537547972638
-0.020019161875708825,-3.7998458497675003,1.0287417904104192,-4.215135658967874,1.9511510885514332,-4.366282248119121,2.7946443152394362,-4.436482158786882,3.5932427385717536,-4.47448895203325,1.9511510885514332,-4.366282248119121,7.060540254710759
-0.03002725914890134,-3.7996531705451284,1.020148925899722,-4.220260494514027,1.9442236833728521,-4.373497870031375,2.788935942319676,-4.444694400063275,3.58841602982589,-4.483247437131483,1.9442236833728521,-4.373497870031375,7.070542961448879
-0.040033576123021344,-3.7993834356273757,1.0115305318408394,-4.2253422799994755,1.937269594019694,-4.380687778470092,2.7832034372804766,-4.452889814277841,3.583567972421432,-4.491994123243174,1.937269594019694,-4.380687778470092,7.080545668187
-0.05003751952924134,-3.799036661006671,1.0028868239117967,-4.230380888250939,1.930288915935778,-4.387851874754871,2.777446849724088,-4.461068330517256,3.578698595201057,-4.5007289583314325,1.930288915935778,-4.387851874754871,7.09054837492512
-0.060038496239461586,-3.798612867243084,0.9942180184241082,-4.235376193175658,1.92328174492985,-4.394990060559578,2.771666229461141,-4.4692298780144135,3.5738079271342795,-4.509451890429871,1.92328174492985,-4.394990060559578,7.10055108166324
-0.07003591330147522,-3.7981120794631056,0.9855243323173611,-4.240328069764554,1.9162481771742677,-4.402102237913698,2.765861626510216,-4.477374386149032,3.5688959973172807,-4.5181628676429195,1.9162481771742677,-4.402102237913698,7.11055378840136
